.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
@babel/template	7.0.0-beta.4	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.5.1	8.1.4	1c6f73a1893ce929287354e2ca5c9b3cde0d759e	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.4.tgz	2017-10-30T18:35:33.711Z
@babel/template	7.0.0-beta.5	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.5.1	8.1.4	400a58ee90230d77d5cd7f2fc5820b5d2f0ae18d	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.5.tgz	2017-10-30T20:57:10.361Z
@babel/template	7.0.0-beta.31	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.5.1	8.1.4	577bb29389f6c497c3e7d014617e7d6713f68bda	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.31.tgz	2017-11-03T20:04:00.039Z
@babel/template	7.0.0-beta.32	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.5.1	8.9.1	e1d9fdbd2a7bcf128f2f920744a67dab18072495	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.32.tgz	2017-11-12T13:33:45.470Z
@babel/template	7.0.0-beta.33	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.5.1	8.9.1	55c5fe149ac005fb65f42dd6534e4b4729dd3ee3	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.33.tgz	2017-12-01T14:28:55.185Z
@babel/template	7.0.0-beta.34	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.5.1	8.9.1	35fa7eb6c540f4619927ec1c1b113719ecc59446	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.34.tgz	2017-12-02T14:39:55.211Z
@babel/template	7.0.0-beta.35	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.5.1	8.9.1	459230417f51c29401cf71162aeeff6cef2bcca7	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.35.tgz	2017-12-14T21:48:13.698Z
@babel/template	7.0.0-beta.36	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.5.1	8.9.1	02e903de5d68bd7899bce3c5b5447e59529abb00	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.36.tgz	2017-12-25T19:05:16.354Z
@babel/template	7.0.0-beta.37	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.5.1	8.9.1	d51a5c8c7bfc1ff08f3623231b7d388a9e9b3570	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.37.tgz	2018-01-08T16:02:56.542Z
@babel/template	7.0.0-beta.38	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.5.1	8.9.1	8a2d403a01da320beb8333dc6403500fa79e8597	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.38.tgz	2018-01-17T16:32:24.609Z
@babel/template	7.0.0-beta.39	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.6.0	8.9.1	98bd7b132d99f73547c473f2862f481ae84981c9	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.39.tgz	2018-01-30T20:27:53.383Z
@babel/template	7.0.0-beta.40	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.6.0	8.9.1	034988c6424eb5c3268fe6a608626de1f4410fc8	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.40.tgz	2018-02-12T16:42:25.501Z
@babel/template	7.0.0-beta.41	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.6.0	8.10.0	628eeb93f9b5b423a252d3b6183f12e09505ab55	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.41.tgz	2018-03-14T16:26:37.157Z
@babel/template	7.0.0-beta.42	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.6.0	8.10.0	7186d4e70d44cdec975049ba0a73bdaf5cdee052	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.42.tgz	2018-03-15T20:51:50.480Z
@babel/template	7.0.0-beta.43	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.6.0	8.10.0	0d34fa1da16835b23dd136b942c753ad97540c24	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.43.tgz	2018-04-02T16:48:45.508Z
@babel/template	7.0.0-beta.44	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.6.0	8.10.0	f8832f4fdcee5d59bf515e595fc5106c529b394f	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.44.tgz	2018-04-02T22:20:26.488Z
@babel/template	7.0.0-beta.45	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.6.0	8.10.0	a12ef8d61cafbdb0da0d82210e8bcd81533c8487	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.45.tgz	2018-04-23T01:57:57.075Z
@babel/template	7.0.0-beta.46	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.6.0	9.4.0	8b23982411d5b5dbfa479437bfe414adb1411bb9	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.46.tgz	2018-04-23T04:32:16.385Z
@babel/template	7.0.0-beta.47	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.6.0	8.10.0	0473970a7c0bee7a1a18c1ca999d3ba5e5bad83d	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.47.tgz	2018-05-15T00:10:11.879Z
@babel/template	7.0.0-beta.48	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		5.6.0	8.10.0	1792741eeabdee09687d24dbfa47fc5437aebd66	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.48.tgz	2018-05-24T19:24:09.406Z
@babel/template	7.0.0-beta.49	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com		3.10.10	6.12.3	e38abe8217cb9793f461a5306d7ad745d83e1d27	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.49.tgz	2018-05-25T16:03:39.692Z
@babel/template	7.0.0-beta.50	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com				c534b70d3510f2bca7bccaafbe0885220edd9e47	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.50.tgz	2018-06-12T19:47:46.796Z
@babel/template	7.0.0-beta.51	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com				9602a40aebcf357ae9677e2532ef5fc810f5fbff	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.51.tgz	2018-06-12T21:20:24.948Z
@babel/template	7.0.0-beta.52	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com				44e18fac38251f57f92511d6748f095ab02f996e	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.52.tgz	2018-07-06T00:59:38.857Z
@babel/template	7.0.0-beta.53	Generate an AST from a string template.	MIT	https://github.com/babel/babel/tree/master/packages/babel-template	Sebastian McKenzie	sebmck@gmail.com				3322290900d0b187b0a7174381e1f3bb71050d2e	https://registry.npmjs.org/@babel/template/-/template-7.0.0-beta.53.tgz	2018-07-11T13:40:38.388Z
