.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
assert	0.4.9	Node.JS assert module		git://github.com/coolaj86/nodejs-libs-4-browser.git	narwhal.js		http://narwhaljs.org	1.0.15	v0.4.8	45faff1a58f718508118873dead940c8b51db939	https://registry.npmjs.org/assert/-/assert-0.4.9.tgz	2011-06-30T00:30:08.699Z
assert	1.0.0	commonjs assert - node.js api compatible		git://github.com/defunctzombie/commonjs-assert.git				1.3.14		11e0629e3bbc13e293bf79570c9febe98b2d7997	https://registry.npmjs.org/assert/-/assert-1.0.0.tgz	2013-11-22T18:46:47.035Z
assert	1.0.1	commonjs assert - node.js api compatible		git://github.com/defunctzombie/commonjs-assert.git				1.3.14		af89155b0d01a6dbc2c07803e8ecf94b605cb8f6	https://registry.npmjs.org/assert/-/assert-1.0.1.tgz	2013-12-18T02:20:33.846Z
assert	1.0.2	commonjs assert - node.js api compatible		git://github.com/defunctzombie/commonjs-assert.git				1.3.17		aa45c4be60a06ffbf2fa88e81aec400e68de4da7	https://registry.npmjs.org/assert/-/assert-1.0.2.tgz	2013-12-19T03:18:16.080Z
assert	1.0.3	commonjs assert - node.js api compatible		git://github.com/defunctzombie/commonjs-assert.git				1.3.21		b4876fe43cd32fa93679f49e082e5c47e0e42db1	https://registry.npmjs.org/assert/-/assert-1.0.3.tgz	2013-12-20T15:27:42.122Z
assert	1.1.0	commonjs assert - node.js api compatible		git://github.com/defunctzombie/commonjs-assert.git				1.3.21		851f832b880525bb9f6c1bb1dfd93ea028247f23	https://registry.npmjs.org/assert/-/assert-1.1.0.tgz	2013-12-29T04:37:51.334Z
assert	1.1.1	commonjs assert - node.js api compatible	MIT	git://github.com/defunctzombie/commonjs-assert.git				1.3.24		766549ef4a6014b1e19c7c53f9816eabda440760	https://registry.npmjs.org/assert/-/assert-1.1.1.tgz	2014-02-07T17:13:56.404Z
assert	1.1.2	commonjs assert - node.js api compatible	MIT	git://github.com/defunctzombie/commonjs-assert.git				1.4.23		adaa04c46bb58c6dd1f294da3eb26e6228eb6e44	https://registry.npmjs.org/assert/-/assert-1.1.2.tgz	2014-08-29T03:33:31.188Z
assert	1.2.0	commonjs assert - node.js api compatible	MIT	git://github.com/defunctzombie/commonjs-assert.git				2.1.12	0.10.33	26ecef6e9cde86d7817e4d9243deb9a191b9befa	https://registry.npmjs.org/assert/-/assert-1.2.0.tgz	2014-12-21T18:24:52.866Z
assert	1.3.0	commonjs assert - node.js api compatible	MIT	git://github.com/defunctzombie/commonjs-assert.git				2.1.12	0.10.33	03939a622582a812cc202320a0b9a56c9b815849	https://registry.npmjs.org/assert/-/assert-1.3.0.tgz	2014-12-24T02:46:30.815Z
assert	1.4.0	commonjs assert - node.js api compatible	MIT	git://github.com/defunctzombie/commonjs-assert.git				3.8.6	5.11.0	a29a98e6febf47b8c31538637a8bf8373fed73e9	https://registry.npmjs.org/assert/-/assert-1.4.0.tgz	2016-05-18T11:35:54.924Z
assert	1.4.1	commonjs assert - node.js api compatible	MIT	git://github.com/defunctzombie/commonjs-assert.git				3.8.6	5.11.0	99912d591836b5a6f5b345c0f07eefc08fc65d91	https://registry.npmjs.org/assert/-/assert-1.4.1.tgz	2016-05-31T14:02:04.361Z
assert	1.5.0	The node.js assert module, re-packaged for web browsers.	MIT	git://github.com/browserify/commonjs-assert.git				6.9.0	11.15.0	55c109aaf6e0aefdb3dc4b71240c70bf574b18eb	https://registry.npmjs.org/assert/-/assert-1.5.0.tgz	2019-05-08T13:00:31.722Z
assert	2.0.0	The assert module from Node.js, for the browser.	MIT	git+https://github.com/browserify/commonjs-assert.git				6.9.0	12.0.0	95fc1c616d48713510680f2eaf2d10dd22e02d32	https://registry.npmjs.org/assert/-/assert-2.0.0.tgz	2019-05-12T11:00:27.859Z
