.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
binary-extensions	1.0.0	List of binary file extensions	MIT	https://github.com/sindresorhus/binary-extensions	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	1.4.28		2f4124ba6a3fc598eeb0206f89aa365aca6a0a50	https://registry.npmjs.org/binary-extensions/-/binary-extensions-1.0.0.tgz	2015-01-24T09:04:29.927Z
binary-extensions	1.0.1	List of binary file extensions	MIT	https://github.com/sindresorhus/binary-extensions	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	1.4.28		ae59c1ee647de4e10525a272fc8b8e7ab30fa6c7	https://registry.npmjs.org/binary-extensions/-/binary-extensions-1.0.1.tgz	2015-01-26T10:56:06.676Z
binary-extensions	1.0.2	List of binary file extensions	MIT	https://github.com/sindresorhus/binary-extensions	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	1.4.28		af27a3a2fe4297610af9b2ad63f140a2a613df90	https://registry.npmjs.org/binary-extensions/-/binary-extensions-1.0.2.tgz	2015-02-06T00:27:38.427Z
binary-extensions	1.1.0	List of binary file extensions	MIT	https://github.com/sindresorhus/binary-extensions	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	1.4.28		74f42755e8d719b30440dac309fc02972fe23863	https://registry.npmjs.org/binary-extensions/-/binary-extensions-1.1.0.tgz	2015-02-06T18:36:49.046Z
binary-extensions	1.1.1	List of binary file extensions	MIT	https://github.com/sindresorhus/binary-extensions	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.5.0	0.12.0	68935364a1489a3c62a741352e2f28c2ef2b62d5	https://registry.npmjs.org/binary-extensions/-/binary-extensions-1.1.1.tgz	2015-02-15T04:26:26.313Z
binary-extensions	1.2.0	List of binary file extensions	MIT	https://github.com/sindresorhus/binary-extensions	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.5.0	0.12.0	ae679b33e90cfd73baf244d03467c055a2902fd1	https://registry.npmjs.org/binary-extensions/-/binary-extensions-1.2.0.tgz	2015-02-16T07:23:29.790Z
binary-extensions	1.3.0	List of binary file extensions	MIT	https://github.com/sindresorhus/binary-extensions	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.5.1	0.12.0	8c0fd7fa1bd27cfe1e6f2a1d38721647c80b2029	https://registry.npmjs.org/binary-extensions/-/binary-extensions-1.3.0.tgz	2015-02-16T21:10:14.299Z
binary-extensions	1.3.1	List of binary file extensions	MIT	https://github.com/sindresorhus/binary-extensions	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.9.1	0.12.3	32dd9ed2a7c69acec56f77f6cd80df043f78777a	https://registry.npmjs.org/binary-extensions/-/binary-extensions-1.3.1.tgz	2015-05-17T23:39:55.173Z
binary-extensions	1.4.0	List of binary file extensions	MIT	https://github.com/sindresorhus/binary-extensions	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.14.7	4.2.1	d733ccb628986d7b326d88656e0ddbd3aac351b7	https://registry.npmjs.org/binary-extensions/-/binary-extensions-1.4.0.tgz	2015-11-18T17:00:05.622Z
binary-extensions	1.4.1	List of binary file extensions	MIT	git+https://github.com/sindresorhus/binary-extensions.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.15.0	4.4.2	be94c78b44d9f9c336d0de3088545d5efa8511a8	https://registry.npmjs.org/binary-extensions/-/binary-extensions-1.4.1.tgz	2016-05-25T05:03:40.065Z
