.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
boxen	0.1.0	Create boxes in the terminal	MIT	https://github.com/sindresorhus/boxen	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.14.7	4.2.1	8fe43ec1f64a1245e5bfa31d94b04b743af7417a	https://registry.npmjs.org/boxen/-/boxen-0.1.0.tgz	2015-12-21T21:16:48.167Z
boxen	0.2.0	Create boxes in the terminal	MIT	https://github.com/sindresorhus/boxen	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.14.7	4.2.1	84f88e2512e2c3eebacee799932fed0226de6dcb	https://registry.npmjs.org/boxen/-/boxen-0.2.0.tgz	2015-12-23T11:36:38.292Z
boxen	0.3.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.14.12	4.2.4	657eb626e3834350d02fe9eda49dc188b646f18e	https://registry.npmjs.org/boxen/-/boxen-0.3.0.tgz	2016-02-10T09:36:36.162Z
boxen	0.3.1	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.14.12	4.2.4	a7d898243ae622f7abb6bb604d740a76c6a5461b	https://registry.npmjs.org/boxen/-/boxen-0.3.1.tgz	2016-02-10T11:03:16.610Z
boxen	0.4.0	Create boxes in the terminal	MIT	https://github.com/sindresorhus/boxen	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.14.12	4.3.0	d4364aa724328a1c3c0c18b22f5c419011fc4490	https://registry.npmjs.org/boxen/-/boxen-0.4.0.tgz	2016-03-01T08:30:42.315Z
boxen	0.5.0	Create boxes in the terminal	MIT	https://github.com/sindresorhus/boxen	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.14.12	4.3.0	6a0fa43bc3c91b8e4544bcb080a1c4f92a445335	https://registry.npmjs.org/boxen/-/boxen-0.5.0.tgz	2016-03-01T17:42:34.147Z
boxen	0.5.1	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	3.8.3	4.3.0	5b73d8840eb7f3c8a155cbf69ed3ed68d4720014	https://registry.npmjs.org/boxen/-/boxen-0.5.1.tgz	2016-03-29T08:09:14.659Z
boxen	0.6.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.15.0	4.4.2	8364d4248ac34ff0ef1b2f2bf49a6c60ce0d81b6	https://registry.npmjs.org/boxen/-/boxen-0.6.0.tgz	2016-06-07T11:10:25.803Z
boxen	0.7.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	3.10.6	6.4.0	f7bb22c1e6bf258080c044abd84fb325ad4efaa3	https://registry.npmjs.org/boxen/-/boxen-0.7.0.tgz	2016-09-06T11:57:09.945Z
boxen	0.8.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	3.10.6	6.4.0	7b0d9c29b3026866babab62caca4331232b54d4e	https://registry.npmjs.org/boxen/-/boxen-0.8.0.tgz	2016-09-06T12:23:15.066Z
boxen	0.8.1	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.15.9	4.5.0	aa68457f4643b820a9358c670d8a32f1c0956870	https://registry.npmjs.org/boxen/-/boxen-0.8.1.tgz	2016-09-10T14:10:44.235Z
boxen	1.0.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.15.11	4.6.2	b2694baf1f605f708ff0177c12193b22f29aaaab	https://registry.npmjs.org/boxen/-/boxen-1.0.0.tgz	2017-01-13T09:29:25.847Z
boxen	1.1.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	4.2.0	7.9.0	b1b69dd522305e807a99deee777dbd6e5167b102	https://registry.npmjs.org/boxen/-/boxen-1.1.0.tgz	2017-05-05T16:11:40.499Z
boxen	1.2.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	5.0.0	8.0.0	03478d84be7fe02189b80904d81d6a80384368f1	https://registry.npmjs.org/boxen/-/boxen-1.2.0.tgz	2017-07-12T12:58:03.897Z
boxen	1.2.1	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.15.11	4.8.3	0f11e7fe344edb9397977fc13ede7f64d956481d	https://registry.npmjs.org/boxen/-/boxen-1.2.1.tgz	2017-07-23T17:45:11.854Z
boxen	1.2.2	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.15.11	4.8.4	3f1d4032c30ffea9d4b02c322eaf2ea741dcbce5	https://registry.npmjs.org/boxen/-/boxen-1.2.2.tgz	2017-10-17T16:09:55.401Z
boxen	1.3.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	5.5.1	8.9.0	55c6c39a8ba58d9c61ad22cd877532deb665a20b	https://registry.npmjs.org/boxen/-/boxen-1.3.0.tgz	2017-12-01T01:30:17.242Z
boxen	2.0.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	5.6.0	8.11.4	46ba3953b1a3d99aaf89ad8c7104a32874934a58	https://registry.npmjs.org/boxen/-/boxen-2.0.0.tgz	2018-09-10T17:31:08.439Z
boxen	2.1.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.5.0	10.13.0	8d576156e33fc26a34d6be8635fd16b1d745f0b2	https://registry.npmjs.org/boxen/-/boxen-2.1.0.tgz	2018-12-18T13:58:52.294Z
boxen	3.0.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.8.0	10.15.0	2e229f603c9c1da9d2966b7e9a5681eb692eca23	https://registry.npmjs.org/boxen/-/boxen-3.0.0.tgz	2019-02-19T18:47:18.561Z
boxen	3.1.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.4.1	10.15.1	0eced0ffde565c3d68cb7ba0bbae51d8c2eed95c	https://registry.npmjs.org/boxen/-/boxen-3.1.0.tgz	2019-04-06T16:40:39.741Z
boxen	3.2.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.9.0	10.15.3	fbdff0de93636ab4450886b6ff45b92d098f45eb	https://registry.npmjs.org/boxen/-/boxen-3.2.0.tgz	2019-04-30T12:06:54.048Z
boxen	4.0.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.9.0	8.16.0	7f706ae572868b9788bf8feb99e1157f2dcef332	https://registry.npmjs.org/boxen/-/boxen-4.0.0.tgz	2019-05-29T15:14:42.719Z
boxen	4.1.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.9.0	8.16.0	256f6b2eb09ba22ea558e5acc0a5ff637bf8ed03	https://registry.npmjs.org/boxen/-/boxen-4.1.0.tgz	2019-06-11T16:40:53.925Z
boxen	4.2.0	Create boxes in the terminal	MIT	git+https://github.com/sindresorhus/boxen.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.13.2	10.17.0	e411b62357d6d6d36587c8ac3d5d974daa070e64	https://registry.npmjs.org/boxen/-/boxen-4.2.0.tgz	2019-12-06T07:43:09.434Z
