.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
brorand	1.0.1	Random number generator for browsers and node.js	MIT	git@github.com:indutny/brorand	Fedor Indutny	fedor@indutny.com		2.1.6	0.10.33	c77a5521dcd2e955f40c00f7d00fbe6a0c6fb313	https://registry.npmjs.org/brorand/-/brorand-1.0.1.tgz	2014-11-05T17:05:00.269Z
brorand	1.0.2	Random number generator for browsers and node.js	MIT	git@github.com:indutny/brorand	Fedor Indutny	fedor@indutny.com		2.1.6	0.10.33	d94c39f5dd37fa1d984462544e00b0d4b63705a4	https://registry.npmjs.org/brorand/-/brorand-1.0.2.tgz	2014-11-07T14:52:57.839Z
brorand	1.0.3	Random number generator for browsers and node.js	MIT	git@github.com:indutny/brorand	Fedor Indutny	fedor@indutny.com		2.1.6	0.10.33	03d280ae9a93695f2c6b13aed710cf17a7ae6962	https://registry.npmjs.org/brorand/-/brorand-1.0.3.tgz	2014-11-07T15:03:19.052Z
brorand	1.0.4	Random number generator for browsers and node.js	MIT	git@github.com:indutny/brorand	Fedor Indutny	fedor@indutny.com		2.1.6	0.10.33	ffee2db32e22b60f38ee8828cffc41b60ea35cb4	https://registry.npmjs.org/brorand/-/brorand-1.0.4.tgz	2014-11-07T15:08:12.128Z
brorand	1.0.5	Random number generator for browsers and node.js	MIT	git@github.com:indutny/brorand	Fedor Indutny	fedor@indutny.com		2.1.6	0.10.33	07b54ca30286abd1718a0e2a830803efdc9bfa04	https://registry.npmjs.org/brorand/-/brorand-1.0.5.tgz	2014-11-19T17:54:12.742Z
brorand	1.0.6	Random number generator for browsers and node.js	MIT	git+ssh://git@github.com/indutny/brorand.git	Fedor Indutny	fedor@indutny.com		3.10.3	6.3.0	4028706b915f91f7b349a2e0bf3c376039d216e5	https://registry.npmjs.org/brorand/-/brorand-1.0.6.tgz	2016-09-08T08:34:12.644Z
brorand	1.0.7	Random number generator for browsers and node.js	MIT	git+ssh://git@github.com/indutny/brorand.git	Fedor Indutny	fedor@indutny.com		3.10.8	7.0.0	6677fa5e4901bdbf9c9ec2a748e28dca407a9bfc	https://registry.npmjs.org/brorand/-/brorand-1.0.7.tgz	2017-02-06T22:56:35.699Z
brorand	1.0.8	Random number generator for browsers and node.js	MIT	git+ssh://git@github.com/indutny/brorand.git	Fedor Indutny	fedor@indutny.com		3.10.8	7.0.0	2c2fe4082fbfed85fc3507b997482065400e0747	https://registry.npmjs.org/brorand/-/brorand-1.0.8.tgz	2017-02-22T21:33:32.764Z
brorand	1.0.9	Random number generator for browsers and node.js	MIT	git+ssh://git@github.com/indutny/brorand.git	Fedor Indutny	fedor@indutny.com		3.10.8	7.0.0	90afcee4020641b87136cb92b6efb60b6316ada1	https://registry.npmjs.org/brorand/-/brorand-1.0.9.tgz	2017-02-22T21:36:28.258Z
brorand	1.1.0	Random number generator for browsers and node.js	MIT	git+ssh://git@github.com/indutny/brorand.git	Fedor Indutny	fedor@indutny.com		3.10.8	7.0.0	12c25efe40a45e3c323eb8675a0a0ce57b22371f	https://registry.npmjs.org/brorand/-/brorand-1.1.0.tgz	2017-02-22T21:39:22.072Z
