.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
caniuse-api	0.1.0	request the caniuse data to check browsers compatibilities	MIT	https://github.com/nyalab/caniuse-api	nyalab			2.1.6	0.10.33	2363d7908466950f57637a2861c3d53dd6003a55	https://registry.npmjs.org/caniuse-api/-/caniuse-api-0.1.0.tgz	2014-12-15T13:56:36.069Z
caniuse-api	1.0.0	request the caniuse data to check browsers compatibilities	MIT	https://github.com/nyalab/caniuse-api	nyalab			2.1.6	0.10.33	392efe3eaea6a46ee9ee058f47d33c6dc9607923	https://registry.npmjs.org/caniuse-api/-/caniuse-api-1.0.0.tgz	2014-12-16T09:09:13.138Z
caniuse-api	1.1.0	request the caniuse data to check browsers compatibilities	MIT	https://github.com/nyalab/caniuse-api	nyalab			2.1.17	0.10.35	2969d343a6871d950b28d341f15a750227e2210b	https://registry.npmjs.org/caniuse-api/-/caniuse-api-1.1.0.tgz	2015-02-02T13:35:56.448Z
caniuse-api	1.2.0	request the caniuse data to check browsers compatibilities	MIT	https://github.com/nyalab/caniuse-api	nyalab			2.1.17	0.10.35	1803b57e3327e27baa91997b3f21b52a7625e967	https://registry.npmjs.org/caniuse-api/-/caniuse-api-1.2.0.tgz	2015-02-04T13:10:11.020Z
caniuse-api	1.2.1	request the caniuse data to check browsers compatibilities	MIT	https://github.com/nyalab/caniuse-api	nyalab			2.1.17	0.10.35	264bafaf1a5badbfb76f891bd4d285d4ad135cf7	https://registry.npmjs.org/caniuse-api/-/caniuse-api-1.2.1.tgz	2015-02-04T13:13:48.284Z
caniuse-api	1.2.2	request the caniuse data to check browsers compatibilities	MIT	https://github.com/nyalab/caniuse-api	nyalab			2.1.17	0.10.35	627c88d0f7f818eac8cd6b424e2874fde7e72f1e	https://registry.npmjs.org/caniuse-api/-/caniuse-api-1.2.2.tgz	2015-02-06T10:44:05.432Z
caniuse-api	1.3.0	request the caniuse data to check browsers compatibilities	MIT	https://github.com/nyalab/caniuse-api	nyalab			2.5.1	0.12.0	0181b686fbbaf48791e2c35fdab76f616a21a593	https://registry.npmjs.org/caniuse-api/-/caniuse-api-1.3.0.tgz	2015-03-30T08:30:49.746Z
caniuse-api	1.3.1	request the caniuse data to check browsers compatibilities	MIT	https://github.com/nyalab/caniuse-api.git	nyalab			2.5.1	0.12.0	74fcf47e119dfc619237d9f3a7e98699781008ea	https://registry.npmjs.org/caniuse-api/-/caniuse-api-1.3.1.tgz	2015-03-31T07:22:46.012Z
caniuse-api	1.3.2	request the caniuse data to check browsers compatibilities	MIT	git+https://github.com/nyalab/caniuse-api.git	nyalab			2.9.0	2.0.1	742c3e194ccb3bcbdb3cb492b511a47499d79e96	https://registry.npmjs.org/caniuse-api/-/caniuse-api-1.3.2.tgz	2015-06-23T20:54:52.674Z
caniuse-api	1.4.0	request the caniuse data to check browsers compatibilities	MIT	git+https://github.com/nyalab/caniuse-api.git				2.14.4	4.1.1	422227e1fc3176b6f94f70c3e991f67c61cd5b2b	https://registry.npmjs.org/caniuse-api/-/caniuse-api-1.4.0.tgz	2015-10-18T18:40:44.381Z
