.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
cross-spawn	0.1.0	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/npde-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	1.4.9		804a4305ffe717f5f50598a855c08221a227c370	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.1.0.tgz	2014-06-30T01:04:42.962Z
cross-spawn	0.1.1	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	1.4.9		ec7d08cf044c1f349e7aa21738296f665f8d7b8a	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.1.1.tgz	2014-06-30T13:22:52.138Z
cross-spawn	0.1.2	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	1.4.9		83ba4d7f394d41683253684052e669d14a873f10	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.1.2.tgz	2014-06-30T21:29:40.550Z
cross-spawn	0.1.3	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	1.4.9		08705196268ee352d99edf03c53ce05bf218ae91	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.1.3.tgz	2014-06-30T21:49:21.933Z
cross-spawn	0.1.4	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	1.4.9		216fbe401cce5c1fae8f4270367865f841585992	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.1.4.tgz	2014-06-30T23:25:24.890Z
cross-spawn	0.1.5	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	1.4.9		5578f122bebf8476a6b1846ab082adbea83d0a65	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.1.5.tgz	2014-07-02T11:30:53.833Z
cross-spawn	0.1.6	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	1.4.9		73de1551529b5865ce0392456ea5491a708aa809	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.1.6.tgz	2014-07-03T08:47:30.074Z
cross-spawn	0.1.7	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	1.4.9		7e26c368953fd9618215f519056fca17c4c43d0e	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.1.7.tgz	2014-07-11T16:28:05.858Z
cross-spawn	0.2.0	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	1.4.9		adf1f68b6b0a1fc221e65446e075e06ba5e34072	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.2.0.tgz	2014-08-28T22:41:05.210Z
cross-spawn	0.2.1	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	1.4.9		740c2be6ef07e4693fadc863438f33c633bedca4	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.2.1.tgz	2014-08-28T22:50:35.426Z
cross-spawn	0.2.2	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	1.4.9		e843220593b3bc6e7e7c96decb1dafec69024ecd	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.2.2.tgz	2014-08-28T22:59:55.849Z
cross-spawn	0.2.3	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	1.4.9		9b40ef3270fbdfba9a0ad42fec9db2c40027d08c	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.2.3.tgz	2014-08-29T08:12:24.369Z
cross-spawn	0.2.4	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	2.5.1	0.12.0	b28444c6b8da2d6b5aa99bd04f0af2e029e9f1a1	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.2.4.tgz	2015-02-08T20:34:37.954Z
cross-spawn	0.2.5	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	2.5.1	0.12.0	39b123afcceaf0218ff4c198bfcc665e7ca7879e	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.2.5.tgz	2015-02-08T20:35:35.977Z
cross-spawn	0.2.6	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	2.5.1	0.12.0	1a3512dfc5671da621f0974f26ed3bfd1555ee91	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.2.6.tgz	2015-02-08T20:58:31.475Z
cross-spawn	0.2.7	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	2.6.1	0.10.36	b2edc68f95413c35dc2a0bed8f0c981c50dc4f81	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.2.7.tgz	2015-03-28T00:03:44.626Z
cross-spawn	0.2.8	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	2.6.1	0.10.36	0f042e792eaeb5fdb098c4524aecfd5553b8ea57	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.2.8.tgz	2015-03-28T00:05:26.072Z
cross-spawn	0.2.9	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	2.6.1	0.10.36	bd67f96c07efb6303b7fe94c1e979f88478e0a39	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.2.9.tgz	2015-04-08T16:18:38.840Z
cross-spawn	0.3.0	Cross platform child_process#spawn	MIT	git://github.com/IndigoUnited/node-cross-spawn.git	IndigoUnited	hello@indigounited.com	http://indigounited.com	2.7.4	0.12.2	586ca7abec0887ce0600a119990fb3a3c80ccee2	https://registry.npmjs.org/cross-spawn/-/cross-spawn-0.3.0.tgz	2015-05-06T08:02:28.625Z
