.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
css-select	1.0.0	a CSS selector compiler/engine	BSD-like	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		2.4.1	1.0.4	b1121ca51848dd264e2244d058cee254deeb44b0	https://registry.npmjs.org/css-select/-/css-select-1.0.0.tgz	2015-02-03T22:19:31.872Z
css-select	1.1.0	a CSS selector compiler/engine	BSD-like	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		2.6.1	1.4.2	b51ec9c7d0ab50b9fcd61e529504387b1202d6c4	https://registry.npmjs.org/css-select/-/css-select-1.1.0.tgz	2015-03-06T09:56:07.297Z
css-select	1.2.0	a CSS selector compiler/engine	BSD-like	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		3.3.9	5.0.0	2b3a110539c5355f1cd8d314623e870b121ec858	https://registry.npmjs.org/css-select/-/css-select-1.2.0.tgz	2015-11-24T00:18:41.364Z
css-select	1.3.0-rc0	a CSS selector compiler/engine	BSD-like	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		4.1.1	7.4.0	6f93196aaae737666ea1036a8cb14a8fcb7a9231	https://registry.npmjs.org/css-select/-/css-select-1.3.0-rc0.tgz	2017-01-19T11:01:49.162Z
css-select	2.0.0	a CSS selector compiler/engine	BSD-like	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		5.7.1	9.7.1	7aa2921392114831f68db175c0b6a555df74bbd5	https://registry.npmjs.org/css-select/-/css-select-2.0.0.tgz	2018-03-09T13:24:17.585Z
css-select	2.0.2	a CSS selector compiler/engine	BSD-2-Clause	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		6.4.1	10.11.0	ab4386cec9e1f668855564b17c3733b43b2a5ede	https://registry.npmjs.org/css-select/-/css-select-2.0.2.tgz	2018-10-21T22:49:43.146Z
css-select	2.1.0	a CSS selector compiler/engine	BSD-2-Clause	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		6.13.0	12.4.0	6a34653356635934a81baca68d0255432105dbef	https://registry.npmjs.org/css-select/-/css-select-2.1.0.tgz	2019-11-09T23:15:02.442Z
css-select	3.0.0	a CSS selector compiler/engine	BSD-2-Clause	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		6.14.8	14.11.0	7533e0e600f6a234c7cf151e3c94671a04fe9624	https://registry.npmjs.org/css-select/-/css-select-3.0.0.tgz	2020-09-23T21:00:03.773Z
css-select	3.0.1	a CSS selector compiler/engine	BSD-2-Clause	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		6.14.8	14.11.0	98bfdf4d43756f4b8db7b897bde61aa7572d59b8	https://registry.npmjs.org/css-select/-/css-select-3.0.1.tgz	2020-09-23T23:38:16.650Z
css-select	3.0.2	a CSS selector compiler/engine	BSD-2-Clause	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		6.14.8	14.11.0	ab1d484228a77e135e12423c2ecb679321457c3d	https://registry.npmjs.org/css-select/-/css-select-3.0.2.tgz	2020-09-27T19:37:42.559Z
css-select	3.0.3	a CSS selector compiler/engine	BSD-2-Clause	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		6.14.8	14.11.0	bd4a1ace5953d6c9525251bde45b88ababcb639c	https://registry.npmjs.org/css-select/-/css-select-3.0.3.tgz	2020-09-28T02:28:08.241Z
css-select	3.0.4	a CSS selector compiler/engine	BSD-2-Clause	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		6.14.8	14.11.0	642fac470515cafd1cf40e3e69808afe00838902	https://registry.npmjs.org/css-select/-/css-select-3.0.4.tgz	2020-10-01T20:53:51.493Z
css-select	3.1.0	a CSS selector compiler/engine	BSD-2-Clause	git://github.com/fb55/css-select.git	Felix Boehm	me@feedic.com		6.14.8	14.11.0	7e684316f184e5307d9e04d80a0d626333a9de8a	https://registry.npmjs.org/css-select/-/css-select-3.1.0.tgz	2020-10-02T16:59:00.899Z
