.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
defu	0.0.0	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/jesless/defu.git				6.5.0	11.9.0	d4fd3e918934b18d33b69540b08feeeb08141f3c	https://registry.npmjs.org/defu/-/defu-0.0.0.tgz	2019-02-07T07:18:08.997Z
defu	0.0.1	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/jesless/defu.git				6.5.0	11.9.0	74dc4d64e401d7f95c6755fe98bc5cd688833a8f	https://registry.npmjs.org/defu/-/defu-0.0.1.tgz	2019-02-07T07:38:54.547Z
defu	0.0.3	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/jsless/defu.git				6.9.0	12.2.0	bdc3ea1e1ab2120d4d4a129147f3ba9b7f9fe103	https://registry.npmjs.org/defu/-/defu-0.0.3.tgz	2019-05-25T13:47:31.349Z
defu	0.0.4	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/jsless/defu.git				6.12.0	12.13.0	9294753fff9a88217635ed387e4a451f1738e6ff	https://registry.npmjs.org/defu/-/defu-0.0.4.tgz	2020-01-01T11:01:25.333Z
defu	1.0.0	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/jsless/defu.git				6.12.0	12.13.0	43acb09dfcf81866fa3b0fc047ece18e5c30df71	https://registry.npmjs.org/defu/-/defu-1.0.0.tgz	2020-02-02T13:17:07.004Z
defu	2.0.0	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/nuxt-contrib/defu.git				6.14.4	12.16.2	11f9b989eddede29f1152fe1f0a89dbe6b0c342e	https://registry.npmjs.org/defu/-/defu-2.0.0.tgz	2020-04-19T20:38:45.684Z
defu	2.0.1	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/nuxt-contrib/defu.git				6.14.4	12.16.2	7fdf5a46e659b4d38a62024a20caf306599c2b60	https://registry.npmjs.org/defu/-/defu-2.0.1.tgz	2020-04-19T22:11:48.404Z
defu	2.0.2	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/nuxt-contrib/defu.git				6.14.4	12.16.2	9a3d4c1330d60c0ed4812e51864b948c51f7ad45	https://registry.npmjs.org/defu/-/defu-2.0.2.tgz	2020-04-19T22:14:03.817Z
defu	2.0.3	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/nuxt-contrib/defu.git				6.14.4	12.16.2	32b5c220bf83c9e1e9b6c47767b957cfce658a96	https://registry.npmjs.org/defu/-/defu-2.0.3.tgz	2020-05-22T11:00:06.093Z
defu	2.0.4	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/nuxt-contrib/defu.git				6.14.4	12.16.2	09659a6e87a8fd7178be13bd43e9357ebf6d1c46	https://registry.npmjs.org/defu/-/defu-2.0.4.tgz	2020-05-22T11:01:54.450Z
defu	3.0.0	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/nuxt-contrib/defu.git				6.14.5	12.16.2	9c855f8f17c94136c3f478929ed66b1d2b59d5c6	https://registry.npmjs.org/defu/-/defu-3.0.0.tgz	2020-07-28T12:54:38.352Z
defu	3.0.1	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/nuxt-contrib/defu.git				6.14.4	14.2.0	d563eefe433f37c02a73c4dd197cf443c125a9c7	https://registry.npmjs.org/defu/-/defu-3.0.1.tgz	2020-07-29T09:33:16.724Z
defu	3.1.0	Recursively assign default properties. Lightweight and Fast!	MIT	git+https://github.com/nuxt-contrib/defu.git				6.14.5	12.16.2	a6b5104cacc06aa1efa01923becddbedd32505e8	https://registry.npmjs.org/defu/-/defu-3.1.0.tgz	2020-08-04T15:27:29.589Z
