.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
diffie-hellman	1.0.0	pure js diffie-hellman	MIT	https://github.com/calvinmetcalf/diffie-hellman.git	Calvin Metcalf			2.0.0		5322995a62db56d27da61e66243ebbe0f625bc0e	https://registry.npmjs.org/diffie-hellman/-/diffie-hellman-1.0.0.tgz	2014-11-02T22:53:35.595Z
diffie-hellman	1.0.1	pure js diffie-hellman	MIT	https://github.com/calvinmetcalf/diffie-hellman.git	Calvin Metcalf			2.0.0		9fb7008b97b50d760879a4857e7ff17f1b6e34d3	https://registry.npmjs.org/diffie-hellman/-/diffie-hellman-1.0.1.tgz	2014-11-02T23:00:58.769Z
diffie-hellman	1.0.2	pure js diffie-hellman	MIT	https://github.com/calvinmetcalf/diffie-hellman.git	Calvin Metcalf			2.0.0		739d956f3eea8655bc78a06f0eecdd7732d19a3c	https://registry.npmjs.org/diffie-hellman/-/diffie-hellman-1.0.2.tgz	2014-11-03T01:05:47.090Z
diffie-hellman	1.0.3	pure js diffie-hellman	MIT	https://github.com/calvinmetcalf/diffie-hellman.git	Calvin Metcalf			1.4.3		60afd81fec7cb37663291d2a7707f9bfc4e742ce	https://registry.npmjs.org/diffie-hellman/-/diffie-hellman-1.0.3.tgz	2014-11-04T15:24:05.885Z
diffie-hellman	1.1.0	pure js diffie-hellman	MIT	https://github.com/calvinmetcalf/diffie-hellman.git	Calvin Metcalf			1.4.3		8e966bbc16c36e3b28e1e8e541b524c6135cd4e5	https://registry.npmjs.org/diffie-hellman/-/diffie-hellman-1.1.0.tgz	2014-11-05T14:37:41.895Z
diffie-hellman	1.1.1	pure js diffie-hellman	MIT	https://github.com/calvinmetcalf/diffie-hellman.git	Calvin Metcalf			1.4.3		22fe0c522f11e3e1eba649dd33b88869dab84230	https://registry.npmjs.org/diffie-hellman/-/diffie-hellman-1.1.1.tgz	2014-11-07T12:54:56.929Z
diffie-hellman	1.1.2	pure js diffie-hellman	MIT	https://github.com/calvinmetcalf/diffie-hellman.git	Calvin Metcalf			1.4.3		a1b3e9ca89f4e6d1e7198a05549afc6096d7c4c0	https://registry.npmjs.org/diffie-hellman/-/diffie-hellman-1.1.2.tgz	2014-11-07T13:31:06.367Z
diffie-hellman	2.0.0	pure js diffie-hellman	MIT	https://github.com/calvinmetcalf/diffie-hellman.git	Calvin Metcalf			2.0.0		67ea1d0cbb0a10d332b5098fb9643fa82408c5d4	https://registry.npmjs.org/diffie-hellman/-/diffie-hellman-2.0.0.tgz	2014-11-16T19:46:25.817Z
diffie-hellman	2.1.0	pure js diffie-hellman	MIT	https://github.com/calvinmetcalf/diffie-hellman.git	Calvin Metcalf			1.4.28		2d755b0d30e38251ce3529bd7f4ba97633e2f75b	https://registry.npmjs.org/diffie-hellman/-/diffie-hellman-2.1.0.tgz	2014-11-16T20:29:47.875Z
diffie-hellman	2.2.0	pure js diffie-hellman	MIT	https://github.com/calvinmetcalf/diffie-hellman.git	Calvin Metcalf			2.0.0		8072c466fbfb68e7898a84c56e53bc4e71a4c2e2	https://registry.npmjs.org/diffie-hellman/-/diffie-hellman-2.2.0.tgz	2014-11-16T20:36:42.592Z
diffie-hellman	2.2.1	pure js diffie-hellman	MIT	https://github.com/calvinmetcalf/diffie-hellman.git	Calvin Metcalf			2.1.10	0.10.33	3dbd6ccd24f02229c3a6e6798da3aec578b096c5	https://registry.npmjs.org/diffie-hellman/-/diffie-hellman-2.2.1.tgz	2014-12-03T20:46:51.469Z
