.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
ejs	0.0.1	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		0.2.7-2	v0.3.1-pre	f008cfdc5035e3d592f082c35eec08f4ddb99f83	https://registry.npmjs.org/ejs/-/ejs-0.0.1.tgz	2011-02-14T21:15:53.948Z
ejs	0.0.2	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		0.2.7-2	v0.3.1-pre	c42742c8b07f239adb5136957f6acedbc18f07cc	https://registry.npmjs.org/ejs/-/ejs-0.0.2.tgz	2011-02-14T21:15:53.948Z
ejs	0.0.3	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		0.2.7-2	v0.3.1-pre	ecc6bf3664670eed18b4098cc94a22a4a8b6fbbc	https://registry.npmjs.org/ejs/-/ejs-0.0.3.tgz	2011-02-14T21:15:53.948Z
ejs	0.0.4	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		0.2.7-2	v0.3.1-pre	1582c30cca3b936c539516c9c7bfd59ad8d8a27b	https://registry.npmjs.org/ejs/-/ejs-0.0.4.tgz	2011-02-14T21:15:53.948Z
ejs	0.1.0	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		0.2.7-2	v0.3.1-pre	5552ac77e55daa86e9633aa0089f7c2363ced64a	https://registry.npmjs.org/ejs/-/ejs-0.1.0.tgz	2011-02-14T21:15:53.948Z
ejs	0.2.0	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		0.2.7-2	v0.3.1-pre	59123537a4bafbb0e60e6e8f090b0218de399eca	https://registry.npmjs.org/ejs/-/ejs-0.2.0.tgz	2011-02-14T21:15:53.948Z
ejs	0.2.1	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		0.2.7-2	v0.3.1-pre	10d9ac1859d98921d4e0a72439e72843cb4d9a17	https://registry.npmjs.org/ejs/-/ejs-0.2.1.tgz	2011-02-14T21:15:53.948Z
ejs	0.3.0	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		0.2.16	v0.2.6	d7b8866751f730608b1afcc6f408c3d82483310c	https://registry.npmjs.org/ejs/-/ejs-0.3.0.tgz	2011-02-14T21:15:53.948Z
ejs	0.3.1	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		0.2.18	v0.4.1	14efd50a58d0aa24e3626ea674ae123f5d36f94a	https://registry.npmjs.org/ejs/-/ejs-0.3.1.tgz	2011-02-24T03:08:47.107Z
ejs	0.4.0	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		0.3.18	v0.4.6	a4a188aee997acd76bab120e5500221d6bfc513f	https://registry.npmjs.org/ejs/-/ejs-0.4.0.tgz	2011-04-21T15:38:18.315Z
ejs	0.4.1	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		0.3.18	v0.4.6	d7ec956ca91649b508a1a74dafe990cfaf387409	https://registry.npmjs.org/ejs/-/ejs-0.4.1.tgz	2011-04-21T16:12:48.085Z
ejs	0.4.2	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		1.0.3	v0.4.7	6f58faa54fd0fd097b74e31c4009ec16138572a1	https://registry.npmjs.org/ejs/-/ejs-0.4.2.tgz	2011-05-11T16:41:52.848Z
ejs	0.4.3	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		1.0.3	v0.4.8	8143c3656955b8934db5d9da83e9be73176f1f4f	https://registry.npmjs.org/ejs/-/ejs-0.4.3.tgz	2011-06-20T15:43:06.444Z
ejs	0.5.0	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		1.0.105	v0.6.1	d6f8e7d3baad096383df59c3a2407bd942cf08e8	https://registry.npmjs.org/ejs/-/ejs-0.5.0.tgz	2011-11-20T19:57:26.230Z
ejs	0.6.0	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		1.0.106	v0.6.5	c2a4626ed2102e87898db4c9fcda5bc608e17140	https://registry.npmjs.org/ejs/-/ejs-0.6.0.tgz	2011-12-09T23:53:35.286Z
ejs	0.6.1	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		1.0.106	v0.6.5	16ccc98eeeac166982927fa67eb3fca8865f6871	https://registry.npmjs.org/ejs/-/ejs-0.6.1.tgz	2011-12-10T00:03:58.433Z
ejs	0.7.0	Embedded JavaScript templates			TJ Holowaychuk	tj@vision-media.ca		1.1.9	v0.6.12	b91f5671666c4a3746db895855cdd01b5fea7897	https://registry.npmjs.org/ejs/-/ejs-0.7.0.tgz	2012-03-25T03:22:09.159Z
ejs	0.7.1	Embedded JavaScript templates		git://github.com/visionmedia/ejs.git	TJ Holowaychuk	tj@vision-media.ca		1.1.9	v0.6.12	6dab41cbdee572986db328a2a8d22040f20fba7c	https://registry.npmjs.org/ejs/-/ejs-0.7.1.tgz	2012-03-26T15:49:46.026Z
ejs	0.7.2	Embedded JavaScript templates		git://github.com/visionmedia/ejs.git	TJ Holowaychuk	tj@vision-media.ca		1.1.19	v0.6.16	8032ee9f1fccdae8376582fee1c6d80b31aa1bd3	https://registry.npmjs.org/ejs/-/ejs-0.7.2.tgz	2012-06-22T15:23:23.051Z
ejs	0.8.0	Embedded JavaScript templates		git://github.com/visionmedia/ejs.git	TJ Holowaychuk	tj@vision-media.ca				b4f1398e21e9e911b8cdff30b60346e70fc79f6f	https://registry.npmjs.org/ejs/-/ejs-0.8.0.tgz	2012-07-25T15:47:38.691Z
