.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
gzip-size	0.1.0	Get the gzipped size of a string or buffer	MIT	git://github.com/sindresorhus/gzip-size	Sindre Sorhus	sindresorhus@gmail.com	http://sindresorhus.com	1.4.4		2beaecdaf4917bd151fe9a9d43ae199392d6c32a	https://registry.npmjs.org/gzip-size/-/gzip-size-0.1.0.tgz	2014-02-28T19:58:32.495Z
gzip-size	0.1.1	Get the gzipped size of a string or buffer	MIT	git://github.com/sindresorhus/gzip-size	Sindre Sorhus	sindresorhus@gmail.com	http://sindresorhus.com	1.4.6		ae33483b6fc8224e8342296de108ef93757f76e0	https://registry.npmjs.org/gzip-size/-/gzip-size-0.1.1.tgz	2014-04-04T23:14:30.541Z
gzip-size	0.2.0	Get the gzipped size of a string or buffer	MIT	git://github.com/sindresorhus/gzip-size	Sindre Sorhus	sindresorhus@gmail.com	http://sindresorhus.com	1.4.6		e3a2a191205fe56ee326f5c271435dfaecfb3e1c	https://registry.npmjs.org/gzip-size/-/gzip-size-0.2.0.tgz	2014-04-18T08:28:01.076Z
gzip-size	1.0.0	Get the gzipped size of a string or buffer	MIT	git://github.com/sindresorhus/gzip-size	Sindre Sorhus	sindresorhus@gmail.com	http://sindresorhus.com	1.4.14		66cf8b101047227b95bace6ea1da0c177ed5c22f	https://registry.npmjs.org/gzip-size/-/gzip-size-1.0.0.tgz	2014-08-09T23:13:27.579Z
gzip-size	2.0.0	Get the gzipped size of a string or buffer	MIT	git+https://github.com/sindresorhus/gzip-size.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.11.1	0.12.4	52aeee3a9116e7e2265b4926af8db921e0b39b57	https://registry.npmjs.org/gzip-size/-/gzip-size-2.0.0.tgz	2015-06-10T12:21:46.152Z
gzip-size	2.0.1	Get the gzipped size of a string or buffer	MIT	https://github.com/sindresorhus/gzip-size	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.10.1	0.12.4	821c9ad2a2a2470206912c43669962fa62ce18da	https://registry.npmjs.org/gzip-size/-/gzip-size-2.0.1.tgz	2015-06-10T12:55:14.351Z
gzip-size	2.0.2	Get the gzipped size of a string or buffer	MIT	https://github.com/sindresorhus/gzip-size	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.10.1	0.12.4	892d5f837c49d20571c6e3b9e5ff5c7e1f5ed8e4	https://registry.npmjs.org/gzip-size/-/gzip-size-2.0.2.tgz	2015-06-10T22:06:50.025Z
gzip-size	2.0.3	Get the gzipped size of a string or buffer	MIT	https://github.com/sindresorhus/gzip-size	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.10.1	0.12.4	5d3deae089471cc57217b8ccc599187109392607	https://registry.npmjs.org/gzip-size/-/gzip-size-2.0.3.tgz	2015-06-11T19:25:13.823Z
gzip-size	2.1.0	Get the gzipped size of a string or buffer	MIT	https://github.com/sindresorhus/gzip-size	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.11.2	0.12.5	e74d4e736bed70a48c76ddf0b57ce726f799a5b4	https://registry.npmjs.org/gzip-size/-/gzip-size-2.1.0.tgz	2015-08-14T07:01:37.527Z
gzip-size	3.0.0	Get the gzipped size of a string or buffer	MIT	https://github.com/sindresorhus/gzip-size	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.11.2	0.12.5	546188e9bdc337f673772f81660464b389dce520	https://registry.npmjs.org/gzip-size/-/gzip-size-3.0.0.tgz	2015-08-17T15:46:29.009Z
gzip-size	4.0.0	Get the gzipped size of a string or buffer	MIT	git+https://github.com/sindresorhus/gzip-size.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	5.3.0	8.4.0	a80e13e18938bcb2e6702fec606f5cf8b666db3a	https://registry.npmjs.org/gzip-size/-/gzip-size-4.0.0.tgz	2017-09-08T06:17:03.097Z
gzip-size	4.0.1	Get the gzipped size of a string or buffer	MIT	git+https://github.com/sindresorhus/gzip-size.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.15.11	4.8.4	92a6c44676305e009828dcc9a59b14b4c651c2a2	https://registry.npmjs.org/gzip-size/-/gzip-size-4.0.1.tgz	2017-11-22T14:01:10.833Z
gzip-size	4.1.0	Get the gzipped size of a string or buffer	MIT	git+https://github.com/sindresorhus/gzip-size.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.15.11	4.8.4	8ae096257eabe7d69c45be2b67c448124ffb517c	https://registry.npmjs.org/gzip-size/-/gzip-size-4.1.0.tgz	2017-11-22T14:33:45.523Z
gzip-size	5.0.0	Get the gzipped size of a string or buffer	MIT	git+https://github.com/sindresorhus/gzip-size.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	5.6.0	8.11.2	a55ecd99222f4c48fd8c01c625ce3b349d0a0e80	https://registry.npmjs.org/gzip-size/-/gzip-size-5.0.0.tgz	2018-07-05T17:58:43.329Z
gzip-size	5.1.0	Get the gzipped size of a string or buffer	MIT	git+https://github.com/sindresorhus/gzip-size.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.9.0	8.15.0	2db0396c71f5c902d5cf6b52add5030b93c99bd2	https://registry.npmjs.org/gzip-size/-/gzip-size-5.1.0.tgz	2019-04-15T02:55:45.494Z
gzip-size	5.1.1	Get the gzipped size of a string or buffer	MIT	git+https://github.com/sindresorhus/gzip-size.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.9.0	8.16.0	cb9bee692f87c0612b232840a873904e4c135274	https://registry.npmjs.org/gzip-size/-/gzip-size-5.1.1.tgz	2019-05-21T04:40:06.868Z
