.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
is-buffer	1.0.0	Determine if an object is Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	http://feross.org/	2.0.0		680b48b0cb42ee3d38f0955bcb9855ee945e96fd	https://registry.npmjs.org/is-buffer/-/is-buffer-1.0.0.tgz	2014-10-31T01:58:42.247Z
is-buffer	1.0.1	Determine if an object is Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	http://feross.org/	2.0.0		d4050649838354e87ec59c964c1fa1f4bb7de00d	https://registry.npmjs.org/is-buffer/-/is-buffer-1.0.1.tgz	2014-10-31T03:37:00.562Z
is-buffer	1.0.2	Determine if an object is Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	http://feross.org/	2.7.4	0.12.2	f5c6c051d73f86f11b4ee14267cc1029fce261d0	https://registry.npmjs.org/is-buffer/-/is-buffer-1.0.2.tgz	2015-05-05T01:52:11.559Z
is-buffer	1.1.0	Determine if an object is Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	http://feross.org/	2.14.2	4.0.0	36f7850c0d077a71b041f3565664155f07035bd0	https://registry.npmjs.org/is-buffer/-/is-buffer-1.1.0.tgz	2015-09-17T05:02:36.041Z
is-buffer	1.1.1	Determine if an object is Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	http://feross.org/	2.14.7	4.2.3	3058de9ca454564e8bbe5b8dd2719a8d7089e7d7	https://registry.npmjs.org/is-buffer/-/is-buffer-1.1.1.tgz	2016-01-03T21:09:34.798Z
is-buffer	1.1.2	Determine if an object is Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	http://feross.org/	2.14.12	4.2.6	fa1226588fa0048b005c47e4fb1bb1555d5edeaa	https://registry.npmjs.org/is-buffer/-/is-buffer-1.1.2.tgz	2016-01-29T12:52:12.824Z
is-buffer	1.1.3	Determine if an object is Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	http://feross.org/	2.14.12	4.3.2	db897fc3f7aca2d50de94b6c8c2896a4771627af	https://registry.npmjs.org/is-buffer/-/is-buffer-1.1.3.tgz	2016-03-07T22:49:39.950Z
is-buffer	1.1.4	Determine if an object is a Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	http://feross.org/	2.15.1	0.10.46	cfc86ccd5dc5a52fa80489111c6920c457e2d98b	https://registry.npmjs.org/is-buffer/-/is-buffer-1.1.4.tgz	2016-08-03T23:36:07.367Z
is-buffer	1.1.5	Determine if an object is a Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	http://feross.org/	3.10.10	6.9.5	1f3b26ef613b214b88cbca23cc6c01d87961eecc	https://registry.npmjs.org/is-buffer/-/is-buffer-1.1.5.tgz	2017-03-11T00:51:05.973Z
is-buffer	1.1.6	Determine if an object is a Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	http://feross.org/	5.5.1	8.6.0	efaa2ea9daa0d7ab2ea13a97b2b8ad51fefbe8be	https://registry.npmjs.org/is-buffer/-/is-buffer-1.1.6.tgz	2017-10-25T21:36:28.871Z
is-buffer	2.0.0	Determine if an object is a Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	https://feross.org	5.6.0	8.9.4	224d784b0ca3dcc2ec42c5e75a4150fb7d8fdede	https://registry.npmjs.org/is-buffer/-/is-buffer-2.0.0.tgz	2018-01-29T07:43:20.568Z
is-buffer	2.0.1	Determine if an object is a Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	https://feross.org	5.7.1	8.10.0	e14769efa70ba71162bda9852dc32362e01cca07	https://registry.npmjs.org/is-buffer/-/is-buffer-2.0.1.tgz	2018-03-17T11:33:52.032Z
is-buffer	2.0.2	Determine if an object is a Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	https://feross.org	5.7.1	8.10.0	f83a0c5bc453f6431bf83cc2ceff6cbc9d50a83b	https://registry.npmjs.org/is-buffer/-/is-buffer-2.0.2.tgz	2018-03-17T11:34:36.945Z
is-buffer	2.0.3	Determine if an object is a Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	https://feross.org	6.1.0	8.11.2	4ecf3fcf749cbd1e472689e109ac66261a25e725	https://registry.npmjs.org/is-buffer/-/is-buffer-2.0.3.tgz	2018-06-09T23:15:19.035Z
is-buffer	2.0.4	Determine if an object is a Buffer	MIT	git://github.com/feross/is-buffer.git	Feross Aboukhadijeh	feross@feross.org	https://feross.org	6.10.3	12.10.0	3e572f23c8411a5cfd9557c849e3665e0b290623	https://registry.npmjs.org/is-buffer/-/is-buffer-2.0.4.tgz	2019-10-01T04:48:50.958Z
