.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
mkdirp	0.0.1	Recursively mkdir, like `mkdir -p`		http://github.com/substack/node-mkdirp.git	James Halliday	mail@substack.net	http://substack.net	0.2.12-1	v0.2.5	3fbd9f4711a5234233dc6c9d7a052d4b9f83b416	https://registry.npmjs.org/mkdirp/-/mkdirp-0.0.1.tgz	2011-01-06T02:54:36.496Z
mkdirp	0.0.2	Recursively mkdir, like `mkdir -p`	MIT/X11	http://github.com/substack/node-mkdirp.git	James Halliday	mail@substack.net	http://substack.net	0.2.18	v0.3.8-pre	d9438082daac12691c71d64076706c8a5c3511b6	https://registry.npmjs.org/mkdirp/-/mkdirp-0.0.2.tgz	2011-02-14T20:11:44.988Z
mkdirp	0.0.3	Recursively mkdir, like `mkdir -p`	MIT/X11	git://github.com/substack/node-mkdirp.git	James Halliday	mail@substack.net	http://substack.net	1.0.10	v0.5.0-pre	5a7d88a26857023759ffee7fe4c0b28b0f0066b9	https://registry.npmjs.org/mkdirp/-/mkdirp-0.0.3.tgz	2011-06-20T04:02:44.361Z
mkdirp	0.0.4	Recursively mkdir, like `mkdir -p`	MIT/X11	git://github.com/substack/node-mkdirp.git	James Halliday	mail@substack.net	http://substack.net	1.0.10	v0.5.0-pre	fbb491deec0b9b00869f52582e5f431b3681d2f5	https://registry.npmjs.org/mkdirp/-/mkdirp-0.0.4.tgz	2011-06-29T00:28:32.272Z
mkdirp	0.0.5	Recursively mkdir, like `mkdir -p`	MIT/X11	git://github.com/substack/node-mkdirp.git	James Halliday	mail@substack.net	http://substack.net	1.0.10	v0.5.0-pre	375facfa634b17dcdf734c56f59ddae5102811c8	https://registry.npmjs.org/mkdirp/-/mkdirp-0.0.5.tgz	2011-06-29T18:22:05.839Z
mkdirp	0.0.6	Recursively mkdir, like `mkdir -p`	MIT/X11	git://github.com/substack/node-mkdirp.git	James Halliday	mail@substack.net	http://substack.net	1.0.10	v0.5.0-pre	0965de71060cf5e237ffa795243cb5d9a78d335b	https://registry.npmjs.org/mkdirp/-/mkdirp-0.0.6.tgz	2011-08-20T21:37:10.730Z
mkdirp	0.0.7	Recursively mkdir, like `mkdir -p`	MIT/X11	git://github.com/substack/node-mkdirp.git	James Halliday	mail@substack.net	http://substack.net	1.0.10	v0.5.0-pre	d89b4f0e4c3e5e5ca54235931675e094fe1a5072	https://registry.npmjs.org/mkdirp/-/mkdirp-0.0.7.tgz	2011-09-10T22:50:08.879Z
mkdirp	0.1.0	Recursively mkdir, like `mkdir -p`	MIT/X11	git://github.com/substack/node-mkdirp.git	James Halliday	mail@substack.net	http://substack.net	1.0.101	v0.4.12	53212930f7bd75f187b6c8688eb0a5fd69b7d118	https://registry.npmjs.org/mkdirp/-/mkdirp-0.1.0.tgz	2011-11-06T06:32:23.379Z
mkdirp	0.2.0	Recursively mkdir, like `mkdir -p`	MIT/X11	git://github.com/substack/node-mkdirp.git	James Halliday	mail@substack.net	http://substack.net	1.0.101	v0.4.12	29dd87f198880b568d1efce0980e7231b048f3aa	https://registry.npmjs.org/mkdirp/-/mkdirp-0.2.0.tgz	2011-11-16T05:32:17.036Z
mkdirp	0.2.1	Recursively mkdir, like `mkdir -p`	MIT/X11	git://github.com/substack/node-mkdirp.git	James Halliday	mail@substack.net	http://substack.net	1.0.101	v0.4.12	2ef920435c8511e135137a33f18a9e40cf9dd166	https://registry.npmjs.org/mkdirp/-/mkdirp-0.2.1.tgz	2011-11-16T09:26:51.089Z
