.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
p-limit	1.0.0	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.15.9	4.6.0	1b6d069a70cbb89c54c172765680eff803a1e0ec	https://registry.npmjs.org/p-limit/-/p-limit-1.0.0.tgz	2016-10-21T07:59:41.638Z
p-limit	1.1.0	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	2.15.11	4.6.2	b07ff2d9a5d88bec806035895a2bab66a27988bc	https://registry.npmjs.org/p-limit/-/p-limit-1.1.0.tgz	2016-11-21T06:59:47.875Z
p-limit	1.2.0	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	5.5.1	8.9.0	0e92b6bedcb59f022c13d0f1949dc82d15909f1c	https://registry.npmjs.org/p-limit/-/p-limit-1.2.0.tgz	2018-01-04T00:24:17.334Z
p-limit	1.3.0	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.1.0	8.11.2	b86bd5f0c25690911c7590fcbfc2010d54b3ccb8	https://registry.npmjs.org/p-limit/-/p-limit-1.3.0.tgz	2018-06-06T16:01:38.768Z
p-limit	2.0.0	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	5.6.0	8.11.2	e624ed54ee8c460a778b3c9f3670496ff8a57aec	https://registry.npmjs.org/p-limit/-/p-limit-2.0.0.tgz	2018-06-14T17:44:20.143Z
p-limit	2.1.0	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.4.1	11.5.0	1d5a0d20fb12707c758a655f6bbc4386b5930d68	https://registry.npmjs.org/p-limit/-/p-limit-2.1.0.tgz	2018-12-25T14:16:18.049Z
p-limit	2.2.0	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.8.0	10.15.1	417c9941e6027a9abcba5092dd2904e255b5fbc2	https://registry.npmjs.org/p-limit/-/p-limit-2.2.0.tgz	2019-03-02T19:21:13.574Z
p-limit	2.2.1	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.9.0	10.16.0	aa07a788cc3151c939b5131f63570f0dd2009537	https://registry.npmjs.org/p-limit/-/p-limit-2.2.1.tgz	2019-08-18T18:52:19.615Z
p-limit	2.2.2	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.13.4	10.17.0	61279b67721f5287aa1c13a9a7fbbc48c9291b1e	https://registry.npmjs.org/p-limit/-/p-limit-2.2.2.tgz	2020-01-01T18:42:31.824Z
p-limit	2.3.0	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	sindresorhus.com	6.13.4	10.19.0	3dd33c647a214fdfffd835933eb086da0dc21db1	https://registry.npmjs.org/p-limit/-/p-limit-2.3.0.tgz	2020-04-05T15:40:45.137Z
p-limit	3.0.0	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	https://sindresorhus.com	6.14.5	14.4.0	8a9da09ee359017af6a3aa6b8ede13f5894224ec	https://registry.npmjs.org/p-limit/-/p-limit-3.0.0.tgz	2020-06-06T11:53:03.481Z
p-limit	3.0.1	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	https://sindresorhus.com	6.14.5	14.4.0	584784ac0722d1aed09f19f90ed2999af6ce2839	https://registry.npmjs.org/p-limit/-/p-limit-3.0.1.tgz	2020-06-06T16:21:37.806Z
p-limit	3.0.2	Run multiple promise-returning & async functions with limited concurrency	MIT	git+https://github.com/sindresorhus/p-limit.git	Sindre Sorhus	sindresorhus@gmail.com	https://sindresorhus.com	6.14.5	14.5.0	1664e010af3cadc681baafd3e2a437be7b0fb5fe	https://registry.npmjs.org/p-limit/-/p-limit-3.0.2.tgz	2020-07-12T13:39:53.636Z
