.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
std-env	1.0.0	Detect running environment of the current Node.js process	MIT	git+https://github.com/pi0/std-env.git	Pooya Parsa	pooya@pi0.ir		5.6.0	9.9.0	7435477a5900f38088f2b021dd2dd98679816b0a	https://registry.npmjs.org/std-env/-/std-env-1.0.0.tgz	2018-03-30T18:02:25.279Z
std-env	1.1.0	Detect running environment of the current Node.js process	MIT	git+https://github.com/pi0/std-env.git	Pooya Parsa	pooya@pi0.ir		5.6.0	9.9.0	f89ded0c3facd5b53cd3cda288779ed88d3b87ad	https://registry.npmjs.org/std-env/-/std-env-1.1.0.tgz	2018-03-31T15:28:14.212Z
std-env	1.2.0	Detect running environment of the current Node.js process	MIT	git+https://github.com/pi0/std-env.git	Pooya Parsa	pooya@pi0.ir		5.6.0	9.9.0	da93f9d16f04417ea4ee5f5bca857916948e94f6	https://registry.npmjs.org/std-env/-/std-env-1.2.0.tgz	2018-04-03T18:36:11.601Z
std-env	1.3.0	Detect running environment of the current Node.js process	MIT	git+https://github.com/pi0/std-env.git	Pooya Parsa	pooya@pi0.ir		5.6.0	9.9.0	8ce754a401a61f1ac49c8eb55f2a8c0c63d54954	https://registry.npmjs.org/std-env/-/std-env-1.3.0.tgz	2018-04-04T07:55:04.914Z
std-env	1.3.1	Detect running environment of the current Node.js process	MIT	git+https://github.com/pi0/std-env.git	Pooya Parsa	pooya@pi0.ir		5.6.0	8.11.1	4e1758412439e9ece1d437b1b098551911aa44ee	https://registry.npmjs.org/std-env/-/std-env-1.3.1.tgz	2018-06-29T15:20:37.393Z
std-env	2.0.0	Detect running environment of the current Node.js process	MIT	git+https://github.com/pi0/std-env.git	Pooya Parsa	pooya@pi0.ir		6.4.1	8.11.3	7332a1e12447a6418d6285eafc839f4e30f8114c	https://registry.npmjs.org/std-env/-/std-env-2.0.0.tgz	2018-10-04T21:53:30.888Z
std-env	2.0.1	Detect running environment of the current Node.js process	MIT	git+https://github.com/pi0/std-env.git	Pooya Parsa	pooya@pi0.ir		6.4.1	8.11.3	3ed456079ced5bc7db474ed62919024b926cec09	https://registry.npmjs.org/std-env/-/std-env-2.0.1.tgz	2018-10-04T22:02:28.956Z
std-env	2.0.2	Detect running environment of the current Node.js process	MIT	git+https://github.com/blindmedia/std-env.git				6.4.1	8.11.3	290baa5c905cd4d54f970596923d3f3077adaf06	https://registry.npmjs.org/std-env/-/std-env-2.0.2.tgz	2018-10-04T22:05:30.223Z
std-env	2.1.0	Detect running environment of the current Node.js process	MIT	git+https://github.com/blindmedia/std-env.git				6.4.1	8.11.3	0eab8ddabf6a27c055cc23120d131b4ae90c9b8f	https://registry.npmjs.org/std-env/-/std-env-2.1.0.tgz	2018-11-02T15:48:29.498Z
std-env	2.1.1	Detect running environment of the current Node.js process	MIT	git+https://github.com/blindmedia/std-env.git				6.4.1	11.1.0	b7429cee321390faf39a07f10f0747eec736a78b	https://registry.npmjs.org/std-env/-/std-env-2.1.1.tgz	2018-11-04T22:54:55.604Z
std-env	2.2.0	Detect running environment of the current Node.js process	MIT	git+https://github.com/jsless/std-env.git				6.4.1	11.1.0	2aa62be00b2a2745213add7a5c1e9048508d0ee2	https://registry.npmjs.org/std-env/-/std-env-2.2.0.tgz	2018-11-08T21:33:14.048Z
std-env	2.2.1	Detect running environment of the current Node.js process	MIT	git+https://github.com/jsless/std-env.git				6.4.1	11.1.0	2ffa0fdc9e2263e0004c1211966e960948a40f6b	https://registry.npmjs.org/std-env/-/std-env-2.2.1.tgz	2018-11-08T21:44:46.098Z
std-env	3.0.0-alpha	Detect running environment of the current Node.js process	MIT	git+https://github.com/nuxt-contrib/std-env.git				6.14.5	12.16.2	f161964da20a8af6a11bdbccfd39a99b5d7728d1	https://registry.npmjs.org/std-env/-/std-env-3.0.0-alpha.tgz	2020-07-31T09:31:56.016Z
