.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
upper-case	0.0.1	Uppercase a string	MIT	git://github.com/blakeembrey/upper-case.git	Blake Embrey			1.4.4		9c976c7d5fa373e9fdcd93766eb5fe27369bda37	https://registry.npmjs.org/upper-case/-/upper-case-0.0.1.tgz	2014-03-05T03:40:31.587Z
upper-case	1.0.0	Uppercase a string	MIT	git://github.com/blakeembrey/upper-case.git	Blake Embrey	hello@blakeembrey.com	http://blakeembrey.me	1.4.14		c1bd336e39fca9263f4286332d16a3984da3172c	https://registry.npmjs.org/upper-case/-/upper-case-1.0.0.tgz	2014-08-17T19:07:21.522Z
upper-case	1.0.1	Upper case a string	MIT	git://github.com/blakeembrey/upper-case.git	Blake Embrey	hello@blakeembrey.com	http://blakeembrey.me	1.4.14		ab10e8ca8cff530d3103e56d4f256f9df5534f54	https://registry.npmjs.org/upper-case/-/upper-case-1.0.1.tgz	2014-08-17T20:31:02.667Z
upper-case	1.0.2	Upper case a string	MIT	git://github.com/blakeembrey/upper-case.git	Blake Embrey	hello@blakeembrey.com	http://blakeembrey.me	1.4.14		48d1b8196718db7fca9be22825cf9f5769e4cbd7	https://registry.npmjs.org/upper-case/-/upper-case-1.0.2.tgz	2014-08-17T20:55:43.124Z
upper-case	1.0.3	Upper case a string	MIT	git://github.com/blakeembrey/upper-case.git	Blake Embrey	hello@blakeembrey.com	http://blakeembrey.me	1.4.14		99b0e11fa1174b2d80ad588468fa5f4be7ce27e4	https://registry.npmjs.org/upper-case/-/upper-case-1.0.3.tgz	2014-08-17T20:58:52.214Z
upper-case	1.1.0	Upper case a string	MIT	git://github.com/blakeembrey/upper-case.git	Blake Embrey	hello@blakeembrey.com	http://blakeembrey.me	2.1.17	0.11.14	5640e20ccdac35bc4bd76e8996158aa2359ffa0a	https://registry.npmjs.org/upper-case/-/upper-case-1.1.0.tgz	2015-01-12T03:39:27.593Z
upper-case	1.1.1	Upper case a string	MIT	git://github.com/blakeembrey/upper-case.git	Blake Embrey	hello@blakeembrey.com	http://blakeembrey.me	2.1.17	0.11.14	2140075b68653491d25084c1f350a06497acc030	https://registry.npmjs.org/upper-case/-/upper-case-1.1.1.tgz	2015-01-12T07:48:09.280Z
upper-case	1.1.2	Upper case a string	MIT	git://github.com/blakeembrey/upper-case.git	Blake Embrey	hello@blakeembrey.com	http://blakeembrey.me	2.5.1	0.12.0	18973f566860831d5617724efd5c1b15cfd26d36	https://registry.npmjs.org/upper-case/-/upper-case-1.1.2.tgz	2015-02-08T07:43:09.713Z
upper-case	1.1.3	Upper case a string	MIT	git://github.com/blakeembrey/upper-case.git	Blake Embrey	hello@blakeembrey.com	http://blakeembrey.me	3.3.12	5.2.0	f6b4501c2ec4cdd26ba78be7222961de77621598	https://registry.npmjs.org/upper-case/-/upper-case-1.1.3.tgz	2015-12-16T00:26:07.018Z
upper-case	2.0.0	Transforms the string to upper case	MIT	git://github.com/blakeembrey/change-case.git	Blake Embrey	hello@blakeembrey.com	http://blakeembrey.me	lerna/3.19.0/node@v13.1.0+x64 (darwin)	13.1.0	c181369d061f96eaef7824548893dfe7d79b8329	https://registry.npmjs.org/upper-case/-/upper-case-2.0.0.tgz	2019-12-01T06:19:05.184Z
upper-case	2.0.1	Transforms the string to upper case	MIT	git://github.com/blakeembrey/change-case.git	Blake Embrey	hello@blakeembrey.com	http://blakeembrey.me	lerna/3.19.0/node@v13.1.0+x64 (darwin)	13.1.0	6214d05e235dc817822464ccbae85822b3d8665f	https://registry.npmjs.org/upper-case/-/upper-case-2.0.1.tgz	2019-12-06T03:05:39.087Z
