.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
url-loader	0.1.0	url loader module for webpack	MIT		Tobias Koppers @sokra			1.1.21	v0.6.17	4f5f2730a0def7ebcd07d4747706b937b84f65ff	https://registry.npmjs.org/url-loader/-/url-loader-0.1.0.tgz	2012-05-13T20:52:57.362Z
url-loader	0.1.1	url loader module for webpack	MIT		Tobias Koppers @sokra			1.1.21	v0.6.17	4778f88a22a01f8060e6b8487b4d0426f49d4c7d	https://registry.npmjs.org/url-loader/-/url-loader-0.1.1.tgz	2012-05-20T22:01:10.816Z
url-loader	0.1.2	url loader module for webpack	MIT		Tobias Koppers @sokra			1.1.21	v0.6.17	8822d3589dd4cb4821e550d46d3955e2b45fe008	https://registry.npmjs.org/url-loader/-/url-loader-0.1.2.tgz	2012-06-29T20:14:04.025Z
url-loader	0.1.3	url loader module for webpack	MIT		Tobias Koppers @sokra					75203c27a4991782094761e4b59361c636811f1a	https://registry.npmjs.org/url-loader/-/url-loader-0.1.3.tgz	2012-07-19T01:17:37.065Z
url-loader	0.5.0	url loader module for webpack			Tobias Koppers @sokra			1.1.59		0f6b610c736695cfa2b1f0092b208b32e687d35f	https://registry.npmjs.org/url-loader/-/url-loader-0.5.0.tgz	2013-02-01T07:48:43.747Z
url-loader	0.5.1	url loader module for webpack			Tobias Koppers @sokra			1.2.2		3a083c5d5444a96cb0b02d7b3d3abf310722a3ca	https://registry.npmjs.org/url-loader/-/url-loader-0.5.1.tgz	2013-02-13T12:21:44.583Z
url-loader	0.5.2	url loader module for webpack			Tobias Koppers @sokra			1.2.30		14854f4208913f222b98c438480cbf3eb21a713c	https://registry.npmjs.org/url-loader/-/url-loader-0.5.2.tgz	2013-10-14T21:18:52.900Z
url-loader	0.5.3	url loader module for webpack		git@github.com:webpack/url-loader.git	Tobias Koppers @sokra			1.3.17		83cf5bb11046fd4d6a8363e5e44cfbe105f7365b	https://registry.npmjs.org/url-loader/-/url-loader-0.5.3.tgz	2014-01-23T07:57:36.093Z
url-loader	0.5.4	url loader module for webpack		git@github.com:webpack/url-loader.git	Tobias Koppers @sokra			1.3.21		e34d2007400609096443010f20d8deb8c4a96587	https://registry.npmjs.org/url-loader/-/url-loader-0.5.4.tgz	2014-03-18T16:50:17.729Z
url-loader	0.5.5	url loader module for webpack		git@github.com:webpack/url-loader.git	Tobias Koppers @sokra			1.4.3		798377ef41da12a80b2eaea8990538e8a5749658	https://registry.npmjs.org/url-loader/-/url-loader-0.5.5.tgz	2014-04-02T18:15:29.869Z
url-loader	0.5.6	url loader module for webpack	MIT	git+ssh://git@github.com/webpack/url-loader.git	Tobias Koppers @sokra			2.10.0	0.12.2	644521a5dc66b8729caab1b6ba9e580e021ded45	https://registry.npmjs.org/url-loader/-/url-loader-0.5.6.tgz	2015-05-24T07:32:38.022Z
url-loader	0.5.7	url loader module for webpack	MIT	git+ssh://git@github.com/webpack/url-loader.git	Tobias Koppers @sokra			2.10.1	0.12.4	67e8779759f8000da74994906680c943a9b0925d	https://registry.npmjs.org/url-loader/-/url-loader-0.5.7.tgz	2015-11-23T21:48:28.086Z
url-loader	0.5.8	url loader module for webpack	MIT	git+ssh://git@github.com/webpack/url-loader.git	Tobias Koppers @sokra			3.10.10	6.9.5	b9183b1801e0f847718673673040bc9dc1c715c5	https://registry.npmjs.org/url-loader/-/url-loader-0.5.8.tgz	2017-02-24T16:38:51.828Z
url-loader	0.5.9	url loader module for webpack	MIT	git+ssh://git@github.com/webpack/url-loader.git	Tobias Koppers @sokra			5.0.2	8.0.0	cc8fea82c7b906e7777019250869e569e995c295	https://registry.npmjs.org/url-loader/-/url-loader-0.5.9.tgz	2017-06-12T16:33:09.569Z
url-loader	0.6.0	url loader module for webpack	MIT	git+https://github.com/webpack-contrib/url-loader.git	Tobias Koppers @sokra			5.4.2	8.6.0	77fd02e2f9a9f2152a8cdbf40496cfad5fced74c	https://registry.npmjs.org/url-loader/-/url-loader-0.6.0.tgz	2017-10-03T03:21:32.569Z
url-loader	0.6.1	url loader module for webpack	MIT	git+https://github.com/webpack-contrib/url-loader.git	Tobias Koppers @sokra			5.3.0	8.6.0	4e8eee4232098610d74d64191f65836e0a1a06e0	https://registry.npmjs.org/url-loader/-/url-loader-0.6.1.tgz	2017-10-04T08:57:45.407Z
url-loader	0.6.2	url loader module for webpack	MIT	git+https://github.com/webpack-contrib/url-loader.git	Tobias Koppers @sokra			5.3.0	8.6.0	a007a7109620e9d988d14bce677a1decb9a993f7	https://registry.npmjs.org/url-loader/-/url-loader-0.6.2.tgz	2017-10-04T17:58:32.957Z
url-loader	1.0.0-beta.0	URL Loader for webpack	MIT	git+https://github.com/webpack-contrib/url-loader.git	Tobias Koppers @sokra			5.5.1	8.9.3	53725b0f6dcba1b252422fe93978953a8641f92a	https://registry.npmjs.org/url-loader/-/url-loader-1.0.0-beta.0.tgz	2017-12-17T07:15:41.954Z
