.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
vue	0.0.0	viewmodel	MIT		Evan You			1.3.15		02a9248eb4a26ebc2bbf834f6db630af725ff258	https://registry.npmjs.org/vue/-/vue-0.0.0.tgz	2013-12-07T06:09:48.297Z
vue	0.6.0	A mini front-end MVVM framework	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.15		123c1a24ce6fe13c4530c03d780cb1ef966f9cde	https://registry.npmjs.org/vue/-/vue-0.6.0.tgz	2013-12-08T00:36:06.595Z
vue	0.7.0	A mini front-end MVVM framework	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.21		146d0ed809587f569b7fce39f6bac77b68ff3d47	https://registry.npmjs.org/vue/-/vue-0.7.0.tgz	2013-12-24T02:10:40.441Z
vue	0.7.1	A mini front-end MVVM framework	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.21		17a6ea20a5660c8614636387e15521530ff48c50	https://registry.npmjs.org/vue/-/vue-0.7.1.tgz	2013-12-24T21:58:45.125Z
vue	0.7.3	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.17		61acb2ae6afb1116466bf1512c3835e0b47ac0a8	https://registry.npmjs.org/vue/-/vue-0.7.3.tgz	2014-01-06T19:13:46.961Z
vue	0.7.4	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.17		e0df485af8f62a503664c35c07ea9315dc1a5759	https://registry.npmjs.org/vue/-/vue-0.7.4.tgz	2014-01-10T21:57:04.827Z
vue	0.7.5	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.17		2b845e2defe5d30437b8915822b2461f9ce8a9d6	https://registry.npmjs.org/vue/-/vue-0.7.5.tgz	2014-01-13T21:04:55.424Z
vue	0.7.6	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.21		ab486851e45887879832268370fcb372c1dc87a9	https://registry.npmjs.org/vue/-/vue-0.7.6.tgz	2014-01-19T03:43:46.191Z
vue	0.8.0	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.21		0e0ea13ca7d9672cd900d8f10c59506814db934d	https://registry.npmjs.org/vue/-/vue-0.8.0.tgz	2014-01-27T05:15:59.620Z
vue	0.8.1	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.21		26bfea6b31dd8e0d5b9f3e2eda349624f8011a67	https://registry.npmjs.org/vue/-/vue-0.8.1.tgz	2014-02-02T05:49:12.091Z
vue	0.8.2	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.21		c1d30517b5160982a48ea22022b6974bd1bbde6a	https://registry.npmjs.org/vue/-/vue-0.8.2.tgz	2014-02-03T22:18:34.108Z
vue	0.8.3	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.25		d50bea6e4ea1a78f9252a7c84a0346ce5eb46326	https://registry.npmjs.org/vue/-/vue-0.8.3.tgz	2014-02-06T02:21:37.894Z
vue	0.8.4	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.25		88e9fa4190a56326635ec6962f3bf5469f83ee62	https://registry.npmjs.org/vue/-/vue-0.8.4.tgz	2014-02-09T02:39:35.620Z
vue	0.8.6	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.25		a8d10dc5550a89db4f054da991a8f2ab7c196f55	https://registry.npmjs.org/vue/-/vue-0.8.6.tgz	2014-02-14T07:04:48.933Z
vue	0.8.7	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.24		5497afc8f73b75123f40ea5dd6ceae044d6a2f26	https://registry.npmjs.org/vue/-/vue-0.8.7.tgz	2014-02-20T19:02:49.368Z
vue	0.8.8	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.24		63fa3d8c1566f2983ddd9816a1b98b8d0612a2d0	https://registry.npmjs.org/vue/-/vue-0.8.8.tgz	2014-02-20T22:56:32.861Z
vue	0.9.0	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.25		fdddbcf080a8121c9de827f5aba0894a97efb77d	https://registry.npmjs.org/vue/-/vue-0.9.0.tgz	2014-02-25T06:16:32.434Z
vue	0.9.1	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.24		11fb26ef6fd03697b4c174440cb92bcea3a6ba4d	https://registry.npmjs.org/vue/-/vue-0.9.1.tgz	2014-02-25T15:34:00.231Z
vue	0.9.2	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.24		c53dff86edcf12b941b45ca6f3b4e7d0f39fcc4e	https://registry.npmjs.org/vue/-/vue-0.9.2.tgz	2014-02-25T22:29:51.748Z
vue	0.9.3	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.25		bd982661b5cec65cb8d09e33856e142315716064	https://registry.npmjs.org/vue/-/vue-0.9.3.tgz	2014-03-02T23:22:22.113Z
vue	0.10.0	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.24		54f1eb929b53c00afe74ef8f6a44642ab50e64c9	https://registry.npmjs.org/vue/-/vue-0.10.0.tgz	2014-03-23T18:53:07.403Z
vue	0.10.1	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.24		72d7a4d542e3d3d759b2ab60fc7a7cc768327278	https://registry.npmjs.org/vue/-/vue-0.10.1.tgz	2014-03-24T08:11:43.379Z
vue	0.10.2	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.24		7fe8f74b103246d266137b1647fa918c4941ba87	https://registry.npmjs.org/vue/-/vue-0.10.2.tgz	2014-03-25T04:20:04.786Z
vue	0.10.3	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.3.24		beb96bf62286b34a1db3fe0b016adce8a0b4d41a	https://registry.npmjs.org/vue/-/vue-0.10.3.tgz	2014-03-26T23:13:06.427Z
vue	0.10.4	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.4.3		8513bcaecb6cff65d51b91c115dffb95d1b79304	https://registry.npmjs.org/vue/-/vue-0.10.4.tgz	2014-04-25T19:48:04.430Z
vue	0.10.5	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.4.9		b026812db8c853776656e662c407f13fec0936e3	https://registry.npmjs.org/vue/-/vue-0.10.5.tgz	2014-06-06T19:09:26.096Z
vue	0.10.6	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com	http://evanyou.me	1.4.9		47f4e8096afd099a1885a46576b8a9eb63aee2b9	https://registry.npmjs.org/vue/-/vue-0.10.6.tgz	2014-07-29T02:42:46.414Z
vue	0.11.0-rc	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com		1.4.9		ff6791fa0fb0a46d8a1facb69a0ab518fea21893	https://registry.npmjs.org/vue/-/vue-0.11.0-rc.tgz	2014-09-27T01:26:13.384Z
vue	0.11.0-rc2	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com		1.4.23		84302800170010722beeb1f6c0169fb07f2ba5ad	https://registry.npmjs.org/vue/-/vue-0.11.0-rc2.tgz	2014-10-07T17:08:40.846Z
vue	0.11.0-rc3	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com		1.4.28		a7329c5f19ebcc3eb4e951edb4cfc56c8b113e7a	https://registry.npmjs.org/vue/-/vue-0.11.0-rc3.tgz	2014-10-24T16:54:11.017Z
vue	0.11.0	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com		1.4.28		81718e27f60702f6bdaddaee91b7b29c64ca5547	https://registry.npmjs.org/vue/-/vue-0.11.0.tgz	2014-11-07T01:52:49.130Z
vue	0.11.1	Simple, Fast & Composable MVVM for building interative interfaces	MIT	https://github.com/yyx990803/vue.git	Evan You	yyx990803@gmail.com		1.4.28		f0a9868c2db8124277ee43a75910a3c72121df7e	https://registry.npmjs.org/vue/-/vue-0.11.1.tgz	2014-12-01T00:25:20.710Z
