.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
vuex	0.1.0	state management for Vue.js	MIT	git+https://github.com/vuejs/vuex.git	Evan You			2.14.7	4.2.2	8f5d1dac4904316fab8b46bb317f03c118a1ef27	https://registry.npmjs.org/vuex/-/vuex-0.1.0.tgz	2015-12-06T04:13:13.111Z
vuex	0.2.0	state management for Vue.js	MIT	git+https://github.com/vuejs/vuex.git	Evan You			3.3.12	5.1.1	963a583aa030d62bda2470ed3f79f7fa3b4f98e6	https://registry.npmjs.org/vuex/-/vuex-0.2.0.tgz	2015-12-10T16:36:53.226Z
vuex	0.3.0	state management for Vue.js	MIT	git+https://github.com/vuejs/vuex.git	Evan You			3.3.12	5.5.0	c182c0f573c1ab6e515da0200563de136ef65c56	https://registry.npmjs.org/vuex/-/vuex-0.3.0.tgz	2016-02-16T16:56:56.693Z
vuex	0.4.0	state management for Vue.js	MIT	git+https://github.com/vuejs/vuex.git	Evan You			3.3.12	5.5.0	7d6c1a8d8c60e0bd8c744da0b19ea43d9bacda63	https://registry.npmjs.org/vuex/-/vuex-0.4.0.tgz	2016-03-01T22:37:22.912Z
vuex	0.4.1	state management for Vue.js	MIT	git+https://github.com/vuejs/vuex.git	Evan You			3.3.12	5.5.0	291d570b7b897d87d682fb69e03c771e90dc187f	https://registry.npmjs.org/vuex/-/vuex-0.4.1.tgz	2016-03-01T23:27:52.136Z
vuex	0.4.2	state management for Vue.js	MIT	git+https://github.com/vuejs/vuex.git	Evan You			3.3.12	5.5.0	93cd50e335a5a7fa0eb665b0d440c08396f930b8	https://registry.npmjs.org/vuex/-/vuex-0.4.2.tgz	2016-03-02T16:14:05.988Z
vuex	0.5.0	state management for Vue.js	MIT	git+https://github.com/vuejs/vuex.git	Evan You			3.3.12	5.5.0	736997fd8e56637fd3d5e0a5293fa08f58b657b5	https://registry.npmjs.org/vuex/-/vuex-0.5.0.tgz	2016-03-04T03:07:21.988Z
vuex	0.5.1	state management for Vue.js	MIT	git+https://github.com/vuejs/vuex.git	Evan You			3.3.12	5.5.0	0d9dd1c2f2f4cd7219686f690978ec64fd0225ce	https://registry.npmjs.org/vuex/-/vuex-0.5.1.tgz	2016-03-04T12:36:50.506Z
vuex	0.6.1	state management for Vue.js	MIT	git+https://github.com/vuejs/vuex.git	Evan You			3.3.12	5.5.0	35051910410198f77b38bdc743fb39013758d4bb	https://registry.npmjs.org/vuex/-/vuex-0.6.1.tgz	2016-03-07T02:52:35.354Z
vuex	0.6.2	state management for Vue.js	MIT	git+https://github.com/vuejs/vuex.git	Evan You			3.3.12	5.5.0	ea783a07a9161d4e980fb6fe9badaa36f080b7e9	https://registry.npmjs.org/vuex/-/vuex-0.6.2.tgz	2016-03-08T10:14:41.681Z
